"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.133,0.037,0,0.876
"2","age_group3 to 12 Years",-0.103,0.037,0.005,0.902
"3","age_group13 to 18 Years",-0.121,0.048,0.011,0.886
"4","age_group65 to 84 Years",-0.083,0.016,0,0.921
"5","age_group85 and Over",-0.234,0.027,0,0.792
"6","genderm",0.085,0.014,0,1.089
"7","key_sourceblood",-0.053,0.028,0.06,0.948
"8","key_sourcegastro",0.11,0.045,0.014,1.116
"9","key_sourcerespiratory",-0.012,0.023,0.584,0.988
"10","key_sourceurine",0.162,0.029,0,1.175
"11","key_sourcewound",-0.014,0.025,0.566,0.986
"12","year_scaled",-0.12,0.002,0,0.887
