"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.22,0.021,0,0.802
"2","age_group3 to 12 Years",-0.236,0.022,0,0.79
"3","age_group13 to 18 Years",-0.112,0.027,0,0.894
"4","age_group65 to 84 Years",0.063,0.011,0,1.065
"5","age_group85 and Over",0.041,0.019,0.035,1.042
"6","genderm",0.032,0.009,0.001,1.033
"7","key_sourceblood",-0.225,0.017,0,0.799
"8","key_sourcegastro",-0.013,0.026,0.609,0.987
"9","key_sourcerespiratory",0.192,0.016,0,1.212
"10","key_sourceurine",0.097,0.031,0.002,1.102
"11","key_sourcewound",0.088,0.015,0,1.092
"12","year_scaled",-0.115,0.001,0,0.891
