"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.004,0.053,0.942,1.004
"2","age_group3 to 12 Years",-0.194,0.053,0,0.824
"3","age_group13 to 18 Years",-0.094,0.072,0.195,0.911
"4","age_group65 to 84 Years",-0.097,0.022,0,0.908
"5","age_group85 and Over",-0.262,0.039,0,0.769
"6","genderm",0.162,0.02,0,1.176
"7","key_sourceblood",0.005,0.044,0.901,1.005
"8","key_sourcegastro",0.109,0.067,0.104,1.115
"9","key_sourcerespiratory",-0.122,0.038,0.001,0.885
"10","key_sourceurine",0.108,0.046,0.018,1.114
"11","key_sourcewound",-0.07,0.041,0.088,0.933
"12","year_scaled",-0.202,0.009,0,0.817
