"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",0.285,0.027,0,1.329
"2","age_group3 to 12 Years",0.273,0.028,0,1.314
"3","age_group13 to 18 Years",0.139,0.035,0,1.149
"4","age_group65 to 84 Years",-0.127,0.014,0,0.881
"5","age_group85 and Over",-0.243,0.025,0,0.784
"6","genderm",0,0.012,0.981,1
"7","key_sourceblood",-0.841,0.025,0,0.431
"8","key_sourcegastro",-1.148,0.049,0,0.317
"9","key_sourcerespiratory",-0.725,0.023,0,0.485
"10","key_sourceurine",-0.894,0.041,0,0.409
"11","key_sourcewound",-0.623,0.022,0,0.536
"12","year_scaled",-0.603,0.003,0,0.547
