"","parameter","Value","Std. Error","p value","Odds"
"1","age_group0 to 2 Years",-0.036,0.026,0.164,0.964
"2","age_group3 to 12 Years",-0.075,0.026,0.005,0.928
"3","age_group13 to 18 Years",0.01,0.033,0.765,1.01
"4","age_group65 to 84 Years",-0.06,0.013,0,0.941
"5","age_group85 and Over",-0.118,0.023,0,0.889
"6","genderm",-0.009,0.011,0.423,0.991
"7","key_sourceblood",0.144,0.021,0,1.155
"8","key_sourcegastro",-0.101,0.029,0.001,0.904
"9","key_sourcerespiratory",0.334,0.019,0,1.396
"10","key_sourceurine",0.328,0.036,0,1.388
"11","key_sourcewound",0.373,0.018,0,1.452
"12","year_scaled",0.082,0.001,0,1.086
