"","parameter","Value","Std. Error","p value","Odds","antibiotic","bacteria"
"1","age_group0 to 2 Years",-0.218,0.03,0,0.804,"amikacin","Pseudomonas aeruginosa"
"2","age_group3 to 12 Years",-0.124,0.03,0,0.884,"amikacin","Pseudomonas aeruginosa"
"3","age_group13 to 18 Years",0.042,0.04,0.295,1.042,"amikacin","Pseudomonas aeruginosa"
"4","age_group65 to 84 Years",-0.208,0.013,0,0.812,"amikacin","Pseudomonas aeruginosa"
"5","age_group85 and Over",-0.296,0.023,0,0.744,"amikacin","Pseudomonas aeruginosa"
"6","genderm",0.045,0.012,0,1.047,"amikacin","Pseudomonas aeruginosa"
"7","key_sourceblood",0.019,0.023,0.413,1.019,"amikacin","Pseudomonas aeruginosa"
"8","key_sourcegastro",0.082,0.037,0.024,1.086,"amikacin","Pseudomonas aeruginosa"
"9","key_sourcerespiratory",0.255,0.018,0,1.29,"amikacin","Pseudomonas aeruginosa"
"10","key_sourceurine",0.217,0.024,0,1.242,"amikacin","Pseudomonas aeruginosa"
"11","key_sourcewound",-0.038,0.02,0.059,0.962,"amikacin","Pseudomonas aeruginosa"
"12","year_scaled",0.005,0.001,0,1.005,"amikacin","Pseudomonas aeruginosa"
"13","age_group0 to 2 Years",0.013,0.054,0.804,1.014,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"14","age_group3 to 12 Years",0.13,0.053,0.014,1.139,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"15","age_group13 to 18 Years",0.052,0.07,0.458,1.053,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"16","age_group65 to 84 Years",0.087,0.022,0,1.091,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"17","age_group85 and Over",0.117,0.038,0.002,1.124,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"18","genderm",0.038,0.02,0.062,1.038,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"19","key_sourceblood",-0.1,0.042,0.017,0.905,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"20","key_sourcegastro",-0.241,0.062,0,0.785,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"21","key_sourcerespiratory",-0.18,0.033,0,0.835,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"22","key_sourceurine",-0.118,0.041,0.005,0.889,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"23","key_sourcewound",-0.226,0.037,0,0.798,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"24","year_scaled",-0.616,0.004,0,0.54,"amoxycillin clavulanate","Pseudomonas aeruginosa"
"25","age_group0 to 2 Years",-0.004,0.08,0.956,0.996,"ampicillin","Pseudomonas aeruginosa"
"26","age_group3 to 12 Years",0.096,0.079,0.225,1.101,"ampicillin","Pseudomonas aeruginosa"
"27","age_group13 to 18 Years",-0.111,0.105,0.291,0.895,"ampicillin","Pseudomonas aeruginosa"
"28","age_group65 to 84 Years",0.059,0.032,0.071,1.06,"ampicillin","Pseudomonas aeruginosa"
"29","age_group85 and Over",-0.017,0.056,0.756,0.983,"ampicillin","Pseudomonas aeruginosa"
"30","genderm",0.093,0.03,0.002,1.097,"ampicillin","Pseudomonas aeruginosa"
"31","key_sourceblood",-0.47,0.064,0,0.625,"ampicillin","Pseudomonas aeruginosa"
"32","key_sourcegastro",-0.158,0.095,0.096,0.854,"ampicillin","Pseudomonas aeruginosa"
"33","key_sourcerespiratory",-0.301,0.052,0,0.74,"ampicillin","Pseudomonas aeruginosa"
"34","key_sourceurine",-0.092,0.063,0.146,0.912,"ampicillin","Pseudomonas aeruginosa"
"35","key_sourcewound",-0.177,0.057,0.002,0.838,"ampicillin","Pseudomonas aeruginosa"
"36","year_scaled",-1.555,0.012,0,0.211,"ampicillin","Pseudomonas aeruginosa"
"37","age_group0 to 2 Years",0.318,0.101,0.002,1.374,"ampicillin sulbactam","Pseudomonas aeruginosa"
"38","age_group3 to 12 Years",0.016,0.097,0.87,1.016,"ampicillin sulbactam","Pseudomonas aeruginosa"
"39","age_group13 to 18 Years",-0.223,0.131,0.088,0.8,"ampicillin sulbactam","Pseudomonas aeruginosa"
"40","age_group65 to 84 Years",-0.095,0.041,0.019,0.91,"ampicillin sulbactam","Pseudomonas aeruginosa"
"41","age_group85 and Over",-0.219,0.071,0.002,0.803,"ampicillin sulbactam","Pseudomonas aeruginosa"
"42","genderm",0.264,0.038,0,1.302,"ampicillin sulbactam","Pseudomonas aeruginosa"
"43","key_sourceblood",-0.128,0.083,0.122,0.88,"ampicillin sulbactam","Pseudomonas aeruginosa"
"44","key_sourcegastro",0.014,0.126,0.911,1.014,"ampicillin sulbactam","Pseudomonas aeruginosa"
